Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Shai Gilgeous-Alexander,26,OKC,PG,55,55,34.1,11.2,21.5,0.522,2.1,5.7,0.36,9.1,15.7,0.581,0.57,7.9,8.8,0.895,0.9,4.2,5.1,6.1,1.9,1.1,2.6,2.2,32.3
Giannis Antetokounmpo,30,MIL,PF,44,44,34.2,12.5,20.4,0.61,0.2,0.8,0.194,12.3,19.6,0.628,0.614,6,10.4,0.577,2.3,9.8,12,5.8,0.8,1.3,3.5,2.5,31
Nikola Jokić,29,DEN,C,51,51,36,11.2,19.5,0.574,2.1,4.6,0.447,9.1,14.8,0.613,0.627,5,6.1,0.821,3,9.6,12.7,10.2,1.8,0.6,3.2,2.2,29.4
Anthony Edwards,23,MIN,SG,56,56,36.8,9.2,21,0.438,4.2,10.3,0.409,5,10.8,0.465,0.537,5.1,6,0.84,0.8,5.1,5.9,4.5,1.2,0.6,3.5,1.9,27.7
Tyrese Maxey,24,PHI,PG,48,48,38,9.5,21.3,0.448,3.3,9.5,0.348,6.2,11.8,0.529,0.526,5,5.7,0.876,0.3,3.2,3.5,6.1,1.8,0.4,2.5,2.3,27.4
Kevin Durant,36,PHX,PF,44,44,36.6,9.8,18.4,0.532,2.3,5.8,0.401,7.5,12.6,0.593,0.596,5,6.1,0.824,0.4,5.6,6,4.2,0.9,1.4,3,1.7,26.9
Jayson Tatum,26,BOS,PF,54,54,36.4,9,20,0.453,3.6,10.1,0.356,5.4,9.9,0.552,0.543,5.1,6.4,0.8,0.6,8.2,8.8,5.7,1.1,0.5,2.8,2.2,26.8
Luka Dončić,25,LAL,PG,26,26,34.5,9.3,20.5,0.454,3.2,9.4,0.343,6.1,11.1,0.549,0.533,4.9,6.4,0.765,0.8,7.4,8.2,7.5,1.9,0.4,3.4,2.7,26.7
LaMelo Ball,23,CHA,PG,35,35,32.4,9.2,22.3,0.414,3.9,11.7,0.336,5.3,10.6,0.5,0.502,4.3,5.2,0.824,0.9,4.2,5.1,7.1,1.3,0.3,3.5,3.2,26.7
Devin Booker,28,PHX,SG,51,51,37.3,8.6,18.9,0.452,2.6,7.7,0.343,5.9,11.3,0.527,0.522,6.4,7.1,0.895,0.9,3.1,4,6.7,1.1,0.3,2.7,2.5,26.1
Jalen Brunson,28,NYK,PG,56,56,35.2,9,18.4,0.491,2.3,5.9,0.395,6.7,12.5,0.536,0.554,5.6,6.8,0.82,0.4,2.4,2.9,7.4,0.9,0.1,2.5,2.2,26
Anthony Davis,31,DAL,PF,43,43,34.2,9.5,18,0.528,0.7,2.2,0.313,8.8,15.8,0.559,0.548,6,7.6,0.786,2.9,9.1,12,3.4,1.3,2.2,2.2,1.9,25.7
Cade Cunningham,23,DET,PG,52,52,35.5,9.6,20.8,0.461,2.3,6.4,0.363,7.3,14.5,0.504,0.516,4.2,4.9,0.85,0.8,5.4,6.3,9.5,1,0.8,4.4,2.6,25.7
Damian Lillard,34,MIL,PG,46,46,36.4,7.8,17.5,0.449,3.5,9.2,0.38,4.4,8.3,0.525,0.549,6.4,7,0.919,0.6,4.2,4.7,7.5,1.2,0.2,2.9,1.8,25.6
Franz Wagner,23,ORL,SF,39,39,33.1,9.1,19.5,0.467,1.9,6.3,0.307,7.2,13.3,0.542,0.516,4.9,5.7,0.852,1,4.7,5.7,4.9,1.4,0.4,2.3,2.5,25.1
Karl-Anthony Towns,29,NYK,C,52,52,35.1,9,16.9,0.532,2.1,4.8,0.432,6.9,12.1,0.571,0.593,4.8,5.7,0.837,3.1,10.4,13.5,3.2,1,0.8,2.6,3.5,24.8
Kyrie Irving,32,DAL,SG,46,46,36.5,9,18.8,0.476,2.9,7.2,0.409,6,11.7,0.518,0.554,3.8,4.2,0.907,1.2,3.6,4.7,4.7,1.3,0.4,2.2,2.1,24.7
LeBron James,40,LAL,SF,51,51,34.6,9.5,18.3,0.518,2.3,5.8,0.395,7.2,12.5,0.574,0.58,3.5,4.5,0.769,0.9,6.9,7.7,8.8,0.9,0.6,3.9,1.4,24.7
Cam Thomas,23,BKN,SG,19,17,32.3,7.9,17.7,0.448,2.8,7.6,0.375,5.1,10.2,0.503,0.528,5.9,6.8,0.876,0.5,3.1,3.6,3.4,0.7,0.1,2.7,1.9,24.7
De'Aaron Fox,27,SAS,PG,53,53,36.7,9,19.2,0.469,2,6.2,0.32,7,13,0.539,0.52,4.5,5.5,0.823,0.9,4,5,6.3,1.5,0.4,2.9,2.7,24.5
Zion Williamson,24,NOP,PF,20,20,28.2,9.4,17,0.552,0.2,0.6,0.25,9.2,16.4,0.563,0.556,5.7,8.8,0.646,2.7,4.8,7.5,4.8,1.4,1,3,2.9,24.5
Victor Wembanyama,21,SAS,C,46,46,33.2,8.9,18.6,0.476,3.1,8.8,0.352,5.8,9.9,0.586,0.559,3.4,4.1,0.836,1.8,9.2,11,3.7,1.1,3.8,3.2,2.3,24.3
Tyler Herro,25,MIA,SG,53,53,35.7,8.4,18,0.466,3.7,9.8,0.378,4.7,8.2,0.57,0.569,3.8,4.4,0.861,0.4,5.2,5.5,5.6,0.8,0.1,2.7,1.3,24.2
Donovan Mitchell,28,CLE,SG,54,54,31.2,8.5,18.6,0.456,3.6,9.2,0.396,4.9,9.5,0.514,0.553,3.6,4.4,0.818,0.7,3.6,4.3,4.8,1.4,0.2,2,2,24.2
Norman Powell,31,LAC,SG,45,45,33.6,8.4,17,0.496,3.4,7.8,0.428,5.1,9.1,0.555,0.595,4,4.9,0.819,0.4,3.2,3.6,2.2,1.3,0.2,2.1,1.9,24.2
Trae Young,26,ATL,PG,53,53,36.3,7.5,18.3,0.409,3,8.9,0.338,4.5,9.3,0.477,0.491,6.3,7.3,0.853,0.5,2.6,3.1,11.4,1.2,0.2,4.9,2.1,24.2
Joel Embiid,30,PHI,C,19,19,30.2,7.4,16.6,0.444,1.2,4.1,0.299,6.2,12.5,0.492,0.481,7.8,8.9,0.882,1.9,6.3,8.2,4.5,0.7,0.9,3.3,2.2,23.8
Stephen Curry,36,GSW,PG,48,48,32.1,7.9,17.9,0.44,4.3,11.1,0.39,3.5,6.8,0.52,0.56,3.4,3.7,0.927,0.5,3.9,4.5,6.1,1,0.5,2.9,1.3,23.5
Zach LaVine,29,SAC,SF,49,49,34.5,8.4,16.8,0.5,3.1,7.3,0.419,5.3,9.5,0.562,0.591,3.6,4.4,0.818,0.3,4.3,4.6,4.5,0.9,0.2,2.9,1.6,23.4
Paolo Banchero,22,ORL,PF,25,25,33.1,7.9,18.8,0.419,1.7,5.6,0.3,6.2,13.2,0.47,0.464,5.4,8.1,0.673,1.1,6,7.1,4.9,0.6,0.8,3,2.2,22.9
Jaylen Brown,28,BOS,SF,48,48,35.1,8.5,18.4,0.462,1.9,6,0.323,6.6,12.4,0.529,0.515,3.9,5.2,0.752,1.5,4.6,6.1,4.8,1.2,0.3,2.6,2.6,22.9
Jaren Jackson Jr.,25,MEM,C,55,55,29.6,8.2,16.7,0.492,1.9,5.2,0.354,6.3,11.4,0.555,0.547,4.5,5.9,0.771,1.4,4.6,6,2.2,1.3,1.7,2.2,3.4,22.8
Brandon Ingram,27,NOP,SF,18,18,33.1,8.6,18.5,0.465,2.4,6.4,0.374,6.2,12.1,0.514,0.53,2.6,3.1,0.855,0.9,4.6,5.6,5.2,0.9,0.6,3.8,2.5,22.2
Trey Murphy III,24,NOP,SF,41,39,35.7,7.4,16.2,0.459,3.2,8.5,0.376,4.2,7.7,0.549,0.557,4.1,4.6,0.889,0.8,4.4,5.2,3.7,1.1,0.7,1.8,2.2,22.2
DeMar DeRozan,35,SAC,SF,51,51,35.9,8.1,16.6,0.491,1,3,0.351,7.1,13.6,0.522,0.522,4.8,5.5,0.869,0.5,3.4,3.9,3.8,1,0.4,1.4,1.9,22.1
CJ McCollum,33,NOP,PG,43,43,33.3,8.3,18.3,0.452,3.1,8.2,0.379,5.2,10.1,0.513,0.537,2.5,3.4,0.721,0.7,3.1,3.8,3.8,0.7,0.5,1.8,2.3,22.1
RJ Barrett,24,TOR,SF,44,44,33.3,8.2,17.3,0.476,1.9,5.3,0.362,6.3,12,0.526,0.531,3.6,5.5,0.65,1,5.5,6.5,5.6,0.9,0.3,2.9,2.5,21.9
James Harden,35,LAC,PG,53,53,34.4,6.4,16,0.396,2.8,8.3,0.342,3.5,7.7,0.455,0.485,6.2,7,0.883,0.6,5.2,5.8,8.6,1.5,0.7,4.5,2.1,21.7
Jalen Green,22,HOU,SG,57,57,33.4,7.6,17.8,0.427,2.9,8.2,0.356,4.7,9.6,0.487,0.509,3.4,4.1,0.829,0.6,3.7,4.3,3.1,0.8,0.3,2.5,1.6,21.5
Darius Garland,25,CLE,PG,54,54,30.1,7.6,15.5,0.493,2.9,6.9,0.425,4.7,8.5,0.549,0.589,3.1,3.6,0.871,0.6,2,2.5,6.7,1.2,0.2,2.5,2,21.3
Jamal Murray,27,DEN,PG,50,50,36,7.9,16.7,0.475,2.3,5.9,0.392,5.6,10.8,0.52,0.544,3.1,3.5,0.87,0.6,3.3,3.9,6.1,1.4,0.6,2.2,1.9,21.2
Brandon Miller,22,CHA,SF,27,27,34.2,7.3,18.2,0.403,3.9,10.9,0.355,3.5,7.3,0.475,0.509,2.5,2.9,0.861,0.9,3.9,4.9,3.6,1.1,0.7,2.8,2.7,21
Jordan Poole,25,WAS,SG,49,49,31.3,6.8,16.4,0.415,3.4,9.4,0.367,3.3,7,0.48,0.52,3.8,4.4,0.87,0.5,2.7,3.2,4.9,1.4,0.5,3.3,3.3,20.9
Jalen Williams,23,OKC,SG,53,53,32.6,8.1,16.9,0.477,1.7,4.9,0.354,6.3,12,0.528,0.528,3,3.9,0.777,0.9,4.6,5.5,5.1,1.8,0.7,2.2,2.4,20.9
Ja Morant,25,MEM,PG,35,35,29.1,7.1,16,0.441,1.5,4.9,0.312,5.5,11.1,0.497,0.488,4.9,6,0.818,0.6,3.5,4.1,7.4,1.2,0.3,3.8,2,20.5
Pascal Siakam,30,IND,PF,55,55,33.1,7.8,15,0.523,1.7,4.2,0.402,6.2,10.8,0.57,0.579,3.1,4,0.77,1.7,5.6,7.3,3.4,0.9,0.5,1.3,2.6,20.5
Domantas Sabonis,28,SAC,C,53,53,36.1,8,13.3,0.6,1.1,2.4,0.452,6.9,10.9,0.633,0.641,3.3,4.4,0.749,4.1,10.5,14.6,6.3,0.6,0.4,3,3.5,20.3
Miles Bridges,26,CHA,PF,41,41,32,7.3,16.8,0.433,2.2,6.9,0.319,5.1,10,0.512,0.499,3.3,3.8,0.872,1.1,6.6,7.7,3.7,0.9,0.6,2,1.6,20.1
Scottie Barnes,23,TOR,PF,44,44,34.7,7.5,16.8,0.447,1.3,4.9,0.27,6.2,11.9,0.52,0.486,3.5,4.6,0.776,1.5,6.4,7.9,6.2,1.4,1.1,3,2,19.9
Lauri Markkanen,27,UTA,PF,43,43,32.1,6.4,15,0.425,2.9,8.4,0.347,3.4,6.5,0.527,0.523,3.6,4.2,0.872,1.7,4.5,6.1,1.6,0.8,0.4,1.4,1.8,19.3
Kristaps Porziņģis,29,BOS,C,31,31,29,6.5,13.7,0.476,2.4,6.1,0.399,4.1,7.6,0.538,0.565,3.7,4.5,0.823,1.6,5.3,6.9,2,0.8,1.6,1.2,2.8,19.2
Austin Reaves,26,LAL,SG,50,50,34.7,6.2,13.9,0.446,2.6,7.1,0.36,3.7,6.8,0.537,0.538,4.2,4.9,0.865,0.8,3.5,4.3,6.1,1.2,0.3,2.5,2,19.2
Cameron Johnson,28,BKN,PF,41,41,31.9,6.4,13.1,0.487,3,7.5,0.406,3.3,5.6,0.596,0.604,3.4,3.8,0.896,0.8,3.3,4.1,2.9,0.8,0.5,1.6,1.8,19.1
Nikola Vučević,34,CHI,C,56,56,32.1,7.8,14.6,0.533,1.8,4.6,0.387,6,10.1,0.599,0.593,1.8,2.1,0.817,2.3,7.9,10.3,3.4,0.9,0.7,1.7,2.4,19.1
Alperen Şengün,22,HOU,C,54,54,31.2,7.5,15.4,0.487,0.3,1.5,0.228,7.2,13.9,0.515,0.498,3.7,5.4,0.692,3.3,7.2,10.5,4.9,1.2,0.7,2.5,2.8,19
Jalen Johnson,23,ATL,SF,36,36,35.7,7.5,15.1,0.5,1.2,3.9,0.312,6.3,11.1,0.566,0.541,2.6,3.5,0.746,1.7,8.3,10,5,1.6,1,2.9,1.9,18.9
Julius Randle,30,MIN,PF,48,48,32.6,6.6,14,0.47,1.5,4.6,0.321,5.1,9.4,0.542,0.522,4.2,5.2,0.811,2.1,5,7.2,4.5,0.7,0.2,2.8,2.5,18.9
Evan Mobley,23,CLE,PF,51,51,30,7.2,12.7,0.569,1.1,2.9,0.365,6.2,9.8,0.63,0.611,3.2,4.2,0.759,2.3,7,9.3,3.1,0.9,1.6,1.9,2,18.7
Michael Porter Jr.,26,DEN,SF,54,54,33.1,7,13.7,0.515,2.6,6.3,0.412,4.4,7.4,0.603,0.61,1.9,2.6,0.75,1.8,4.9,6.6,2.2,0.6,0.5,1.4,1.8,18.6
Anfernee Simons,25,POR,SG,53,53,32.2,6.5,15.4,0.424,3,8.1,0.372,3.5,7.3,0.482,0.522,2.5,2.8,0.89,0.3,2.4,2.7,5,0.8,0.1,2.1,1.8,18.5
John Collins,27,UTA,PF,37,28,30.6,6.7,12.7,0.527,1.4,3.5,0.414,5.3,9.3,0.569,0.583,3.5,4.1,0.855,2.1,5.9,8.1,2.1,1,1.1,2.6,2.9,18.4
De'Andre Hunter,27,CLE,SF,42,5,28.2,5.9,12.8,0.463,2.6,6.5,0.404,3.3,6.3,0.523,0.565,3.8,4.5,0.856,0.7,3.2,3.9,1.5,0.8,0.1,1.5,2.4,18.3
Collin Sexton,26,UTA,SG,46,44,28.5,6.5,13.6,0.478,1.9,4.6,0.412,4.6,9,0.511,0.547,3.5,3.9,0.894,1.1,1.8,2.9,4.1,0.7,0.1,2.5,2.3,18.3
Tyrese Haliburton,24,IND,PG,54,54,33.9,6.3,13.9,0.455,2.9,7.9,0.371,3.4,6,0.565,0.56,2.6,3,0.853,0.6,2.9,3.5,8.6,1.3,0.6,1.8,1.4,18.1
Coby White,24,CHI,SG,50,50,32.7,6.1,14.2,0.429,3,8.1,0.368,3.1,6.1,0.51,0.534,2.9,3.3,0.896,0.3,3,3.3,4.6,0.9,0.2,2.4,2.2,18.1
Desmond Bane,26,MEM,SG,46,45,30.8,6.7,13.8,0.488,2.2,5.8,0.385,4.5,8,0.562,0.569,2.3,2.6,0.86,0.9,4.9,5.8,5.4,1.2,0.4,2.5,2.4,18
Malik Monk,26,SAC,SG,48,35,32.6,6.6,15,0.441,2.2,6.9,0.324,4.4,8.1,0.54,0.515,2.5,2.9,0.877,0.4,3.3,3.8,5.8,1,0.6,2.3,2.7,18
Bradley Beal,31,PHX,SG,40,25,32.8,6.8,13.5,0.506,2,5,0.399,4.9,8.5,0.569,0.58,2.3,2.8,0.813,0.8,2.9,3.6,3.5,1.1,0.6,2,2.7,17.9
Jimmy Butler,35,GSW,SF,31,31,30.8,5.7,10.9,0.524,0.5,1.5,0.304,5.3,9.4,0.558,0.544,5.7,7,0.824,2.4,2.9,5.3,4.9,1.2,0.4,1.2,1,17.6
Jaden Ivey,22,DET,SG,30,30,29.9,6.3,13.8,0.46,2.1,5.1,0.409,4.2,8.6,0.49,0.536,2.8,3.9,0.733,1.3,2.8,4.1,4,0.9,0.4,3,2.2,17.6
Andrew Wiggins,29,MIA,SF,47,47,30.7,6,13.9,0.436,2.1,5.8,0.368,3.9,8.1,0.485,0.513,3.3,4.3,0.776,1.6,3.1,4.7,2.4,1,0.8,1.4,1.7,17.5
Mikal Bridges,28,NYK,SF,57,57,37.9,7.2,14.8,0.489,2.3,6.3,0.357,4.9,8.4,0.588,0.565,0.8,1.1,0.742,0.9,2.2,3.2,3.3,1,0.5,1.5,1.5,17.5
Dejounte Murray,28,NOP,PG,31,31,32.6,6.3,15.9,0.393,1.7,5.6,0.299,4.6,10.3,0.444,0.445,3.3,4,0.823,0.5,5.9,6.5,7.4,2,0.4,3.4,2,17.5
Jordan Clarkson,32,UTA,SG,31,8,26.5,5.8,13.8,0.418,2.5,6.5,0.38,3.3,7.4,0.452,0.507,3.1,3.8,0.805,0.7,2.6,3.3,3.8,0.8,0.3,2,1.6,17.1
Shaedon Sharpe,21,POR,SG,49,31,29.8,6.3,14.2,0.446,2,6.2,0.318,4.4,8.1,0.543,0.514,2.4,3,0.801,0.7,3,3.7,2.5,0.8,0.2,1.9,1.7,17
Bam Adebayo,27,MIA,C,53,53,34.1,6.6,13.8,0.477,0.8,2.6,0.307,5.8,11.2,0.517,0.506,3,4.1,0.733,2.6,7.5,10.1,4.4,1.2,0.8,2.2,2.2,16.9
Kawhi Leonard,33,LAC,SF,16,16,26.4,6.7,14.6,0.459,1.7,4.5,0.375,5,10.1,0.497,0.517,1.8,2.2,0.829,0.6,4,4.6,2.8,1.1,0.4,2.1,1.4,16.9
Keyonte George,21,UTA,PG,46,32,31.5,5.5,13.5,0.404,2.6,7.6,0.348,2.8,6,0.474,0.501,3.3,4.1,0.794,0.4,3.3,3.7,6,0.7,0.2,2.8,1.8,16.8
Jonathan Kuminga,22,GSW,PF,32,10,26,6.1,13.2,0.459,1.3,3.6,0.345,4.8,9.6,0.502,0.506,3.4,5.3,0.639,1.4,3.6,5,2.2,0.9,0.6,1.6,1.9,16.8
Malik Beasley,28,DET,SG,57,12,27.6,5.8,13,0.441,4,9.4,0.423,1.8,3.7,0.488,0.594,1.2,1.7,0.667,0.6,2.3,2.9,1.7,1,0,1.1,1.5,16.6
Bennedict Mathurin,22,IND,SF,53,44,31.2,5.8,12.1,0.477,1.5,4.1,0.353,4.3,8,0.541,0.537,3.4,4.1,0.822,1.2,4.3,5.5,1.9,0.6,0.4,1.8,2.4,16.4
Jalen Suggs,23,ORL,PG,35,35,28.6,5.6,13.7,0.41,2.2,6.9,0.314,3.5,6.8,0.506,0.489,2.8,3.1,0.882,0.7,3.4,4,3.7,1.5,0.9,2.9,2.8,16.2
Derrick White,30,BOS,SG,54,54,33.6,5.5,12.4,0.445,3.4,8.7,0.384,2.2,3.7,0.591,0.581,1.8,2.1,0.842,0.9,3.5,4.4,4.3,0.8,1.1,1.6,1.8,16.2
Paul George,34,PHI,PF,37,37,32.3,5.9,13.8,0.429,2.3,6.5,0.357,3.6,7.3,0.494,0.514,2,2.4,0.82,0.6,4.7,5.2,4.3,1.8,0.5,2.5,2.5,16.1
Immanuel Quickley,25,TOR,PG,18,18,27.7,5.2,12.4,0.422,2.5,6.2,0.402,2.7,6.2,0.441,0.522,3.2,3.6,0.891,0.3,2.7,3.1,5.6,0.6,0.2,1.9,1.7,16.1
OG Anunoby,27,NYK,PF,51,51,36.1,6,12.5,0.478,2.1,5.7,0.364,3.9,6.8,0.573,0.561,1.9,2.4,0.798,1.3,3.3,4.6,2,1.4,0.8,1.3,2.3,16
Kyle Kuzma,29,MIL,PF,39,36,28.9,5.9,14.1,0.42,1.4,5.1,0.284,4.5,9,0.496,0.471,2.1,3.4,0.624,0.8,5.2,6.1,2.5,0.6,0.2,2.3,1.8,15.4
Ivica Zubac,27,LAC,C,54,54,31.9,6.8,11.1,0.614,0,0,,6.8,11.1,0.614,0.614,1.8,2.8,0.647,3.8,8.8,12.5,2.5,0.8,1.1,1.7,2,15.4
Chet Holmgren,22,OKC,C,15,15,26.5,5.3,10.6,0.503,1.4,3.5,0.396,3.9,7.1,0.557,0.569,3.3,4.3,0.754,1.7,6.4,8.1,1.7,0.9,2.9,2.1,2,15.3
Jared McCain,20,PHI,SG,23,8,25.7,5.5,11.9,0.46,2.2,5.8,0.383,3.3,6.1,0.532,0.553,2.1,2.4,0.875,0.6,1.9,2.4,2.6,0.7,0,1.6,1.6,15.3
Devin Vassell,24,SAS,SG,40,29,30.2,5.8,13.6,0.428,2.2,6.3,0.344,3.7,7.4,0.498,0.506,1.5,2,0.772,0.6,2.8,3.4,2.8,1.2,0.5,1.4,1.6,15.3
Myles Turner,28,IND,C,48,48,30.6,5.4,11.4,0.471,2.1,5.3,0.399,3.3,6.1,0.532,0.563,2.3,3,0.76,1.3,5.4,6.6,1.6,0.8,1.9,1.9,2.8,15.2
Mark Williams,23,CHA,C,25,22,25,5.8,10.2,0.575,0,0,0,5.8,10.1,0.577,0.575,3.4,4.4,0.789,3.2,6.2,9.4,2.4,0.7,1.1,1,2.5,15.1
Damion Baugh,24,CHA,SG,2,0,29.5,5.5,7.5,0.733,2,3.5,0.571,3.5,4,0.875,0.867,2,2,1,0,2.5,2.5,4.5,1.5,0,2,3,15
Deni Avdija,24,POR,SF,54,36,28.6,4.9,10.5,0.466,1.5,4.3,0.342,3.4,6.2,0.553,0.536,3.5,4.5,0.771,1.2,5.1,6.2,3.5,1,0.5,2.4,2.4,14.8
Christian Braun,23,DEN,SG,56,54,33,5.8,10.1,0.574,1,2.6,0.367,4.8,7.4,0.647,0.622,2.3,2.8,0.823,1.3,3.7,5,2.2,1.1,0.5,0.9,2.2,14.8
Gradey Dick,21,TOR,SG,50,50,29.5,5,12.2,0.413,2.1,6.1,0.351,2.9,6.1,0.475,0.501,2.6,3,0.866,0.8,2.6,3.5,1.8,0.9,0.2,1.6,2.3,14.8
Josh Hart,29,NYK,SG,54,54,37.8,5.7,10.3,0.556,1.1,3.2,0.337,4.6,7,0.657,0.609,2.3,2.8,0.817,2.2,7.4,9.7,5.8,1.5,0.4,2,2.6,14.8
Naz Reid,25,MIN,C,57,10,27.1,5.5,11.3,0.482,2.2,5.6,0.404,3.2,5.8,0.558,0.581,1.6,1.9,0.811,1.1,4.7,5.8,2.1,0.7,1,1.2,2.4,14.7
Fred VanVleet,30,HOU,PG,45,45,35.5,5,13,0.387,2.7,7.8,0.344,2.4,5.3,0.45,0.489,1.9,2.3,0.824,0.7,3.2,3.9,5.8,1.6,0.4,1.6,2.4,14.6
Kelly Oubre Jr.,29,PHI,SF,53,50,34.8,5.6,12.1,0.463,1.1,4,0.28,4.5,8.1,0.555,0.51,2.2,2.8,0.76,1.6,4.7,6.4,1.8,1.5,0.5,1.3,2.9,14.5
P.J. Washington,26,DAL,PF,45,44,32.5,5.2,11.8,0.442,1.6,4.3,0.385,3.6,7.5,0.475,0.512,2.5,3.3,0.745,1.6,6.5,8.1,2.3,1.2,1,1.9,2.4,14.5
Deandre Ayton,26,POR,C,40,40,30.2,6.6,11.7,0.566,0.2,0.8,0.188,6.5,10.9,0.594,0.573,1,1.5,0.667,3.1,7.1,10.2,1.6,0.8,1,1.7,2.2,14.4
Jerami Grant,30,POR,PF,43,43,32.3,4.6,12.2,0.375,2.2,6.1,0.366,2.3,6.1,0.383,0.467,2.9,3.4,0.845,0.6,2.8,3.4,2.2,0.9,1,1.4,2.4,14.3
Jakob Poeltl,29,TOR,C,45,44,30.9,6.2,10.2,0.61,0,0,0,6.2,10.2,0.613,0.61,1.7,2.6,0.658,3.5,6.6,10.1,2.8,1.2,1.3,1.9,3.3,14.2
Tre Mann,23,CHA,PG,13,0,24.5,5.4,12.4,0.435,1.8,4.6,0.4,3.5,7.8,0.455,0.509,1.5,1.6,0.905,0.9,2,2.9,3,0.5,0.3,1.9,1.8,14.1
Dyson Daniels,21,ATL,SG,52,52,34,5.8,12.3,0.473,1.1,3.3,0.339,4.7,9,0.522,0.519,1.2,2,0.618,1.7,3.9,5.5,4,3,0.8,1.8,2.5,14
Payton Pritchard,27,BOS,PG,56,0,27.8,4.9,10.4,0.468,3.2,7.8,0.412,1.7,2.7,0.629,0.621,0.9,1.1,0.836,1.3,2.5,3.8,3.5,0.8,0.2,1,1.6,13.9
Amen Thompson,22,HOU,SF,54,27,32.1,5.4,9.8,0.548,0.4,1.3,0.271,5,8.5,0.59,0.566,2.8,4,0.71,2.7,5.4,8.1,3.5,1.4,1.3,2.1,2.4,13.9
Dennis Schröder,31,DET,PG,52,41,28.6,4.9,11.8,0.413,1.9,5.4,0.355,3,6.4,0.462,0.494,2.2,2.5,0.855,0.3,2.3,2.6,5.3,1,0.1,2.2,2.5,13.8
Klay Thompson,34,DAL,SF,50,50,27.2,5,11.9,0.415,3.1,7.7,0.395,1.9,4.2,0.452,0.544,0.8,0.9,0.907,0.6,2.9,3.5,2,0.8,0.5,1.4,1.3,13.8
Bobby Portis,29,MIL,PF,46,7,25.2,5.6,12.1,0.463,1.3,3.6,0.364,4.3,8.5,0.505,0.517,1.2,1.5,0.821,1.8,6.5,8.3,2.2,0.7,0.5,1.2,1.9,13.7
Jarrett Allen,26,CLE,C,57,57,28.7,5.6,7.9,0.707,0,0.1,0,5.6,7.8,0.711,0.707,2.4,3.3,0.734,2.7,7.6,10.4,2,0.9,0.9,1.2,1.5,13.6
Tobias Harris,32,DET,PF,55,55,31.9,5.2,11.2,0.465,1.2,3.7,0.325,4,7.5,0.535,0.519,2,2.2,0.878,0.9,5,5.9,2.3,0.9,0.8,1.1,1.9,13.6
Dillon Brooks,29,HOU,SF,54,54,32.2,4.8,11.6,0.414,2.3,6,0.388,2.5,5.6,0.442,0.514,1.4,1.7,0.826,1.2,2.7,3.9,1.6,0.8,0.2,1,3.5,13.4
Rui Hachimura,26,LAL,PF,48,48,32.3,5.1,10,0.508,1.7,4.1,0.415,3.4,6,0.571,0.592,1.5,2,0.771,1.5,3.8,5.3,1.5,0.8,0.5,0.9,1.9,13.4
Russell Westbrook,36,DEN,PG,50,27,27.5,4.9,10.4,0.471,1.2,3.5,0.333,3.7,6.9,0.542,0.528,2,3.1,0.635,1.4,3.7,5,6.3,1.4,0.5,3.1,2.5,13
D'Angelo Russell,28,BKN,PG,46,24,25.5,4.4,11,0.402,2,6,0.327,2.5,5,0.491,0.491,2.1,2.5,0.867,0.3,2.5,2.8,5.1,1,0.4,1.9,1.9,12.9
Moritz Wagner,27,ORL,C,30,1,18.8,4.7,8.3,0.562,0.9,2.5,0.36,3.8,5.8,0.649,0.616,2.6,3.7,0.718,1.3,3.6,4.9,1.4,0.8,0.4,1.6,1.8,12.9
Santi Aldama,24,MEM,PF,49,11,24.8,5,10.2,0.488,1.8,4.8,0.38,3.1,5.4,0.583,0.577,1,1.4,0.7,1.6,5.1,6.7,2.6,0.8,0.6,1,1,12.7
Malcolm Brogdon,32,WAS,PG,24,13,23.5,4.3,10,0.433,0.7,2.3,0.286,3.7,7.7,0.478,0.467,3.4,3.8,0.88,0.9,2.9,3.8,4.1,0.5,0.2,1.6,1.3,12.7
Josh Giddey,22,CHI,PG,53,53,29,4.7,10.5,0.451,1.4,3.9,0.361,3.3,6.5,0.506,0.519,1.8,2.3,0.774,1.7,5.6,7.3,6.4,1.1,0.6,2.7,1.7,12.7
StePHXn Castle,20,SAS,PG,54,29,25.3,4.5,10.9,0.413,1.1,3.8,0.279,3.5,7.2,0.483,0.461,2.5,3.4,0.731,0.8,2.1,2.9,3.4,0.9,0.3,1.9,1.7,12.6
Aaron Gordon,29,DEN,PF,34,25,26.9,4.5,8.7,0.512,1.2,2.8,0.427,3.3,5.9,0.552,0.581,2.5,3.1,0.794,1.6,3.3,4.9,3.2,0.4,0.2,1.2,1.5,12.6
Khris Middleton,33,WAS,SF,24,8,23.3,4.7,9.2,0.507,1.5,3.8,0.4,3.2,5.5,0.58,0.588,1.8,2,0.857,0.2,3.5,3.8,4.3,0.8,0.2,1.6,2.3,12.6
Brook Lopez,36,MIL,C,55,55,31.7,4.7,9.7,0.481,1.9,5.1,0.373,2.8,4.6,0.601,0.579,1.3,1.6,0.826,1.3,3.6,4.8,1.7,0.7,2,1,2.1,12.5
