player,team,age,lt_5_ft_fgm,lt_5_ft_fga,lt_5_ft_fgpct,5_9_ft_fgm,5_9_ft_fga,5_9_ft_fgpct,10_14_ft_fgm,10_14_ft_fga,10_14_ft_fgpct,15_19_ft_fgm,15_19_ft_fga,15_19_ft_fgpct,20_24_ft_fgm,20_24_ft_fga,20_24_ft_fgpct,25_29_ft_fgm,25_29_ft_fga,25_29_ft_fgpct
Jaylen Wells,MEM,21,1.1,1.9,57.8,0.4,0.9,49.0,0.3,0.5,67.9,0.1,0.3,50.0,1.1,2.9,38.5,0.8,2.4,34.3
Jaylin Williams,OKC,22,0.6,1.1,56.7,0.1,0.2,33.3,0.1,0.2,80.0,0.0,0.0,0.0,0.3,0.9,28.0,0.8,2.5,30.9
Jaylon Tyson,CLE,22,0.6,1.0,58.3,0.2,0.5,44.4,0.0,0.1,25.0,0.0,0.0,0.0,0.2,0.7,34.8,0.2,0.4,40.0
Jayson Tatum,BOS,26,3.8,5.6,67.4,0.5,1.2,40.3,0.5,1.3,41.8,0.5,1.5,31.2,0.6,1.7,37.8,3.1,8.3,37.1
Jazian Gortman,DAL,21,0.2,0.4,50.0,0.1,0.3,33.3,0.0,0.3,0.0,0.1,0.2,50.0,0.5,0.8,55.6,0.0,0.3,0.0
Jeff Dowtin Jr.,PHI,27,0.4,0.8,52.4,0.2,0.7,33.3,0.4,0.6,64.3,0.1,0.4,33.3,0.1,0.4,20.0,0.2,0.7,23.5
Jeff Green,HOU,38,0.5,0.5,100,0.3,0.4,83.3,0.3,0.4,66.7,0.1,0.1,100,0.5,1.5,36.4,0.1,0.8,15.4
Jerami Grant,POR,30,1.6,3.6,44.0,0.3,1.0,28.6,0.2,0.8,31.3,0.2,0.7,32.3,1.2,3.0,39.2,1.1,3.1,34.8
Jeremiah Robinson-Earl,NOP,24,1.2,1.9,61.2,0.0,0.3,18.2,0.1,0.2,33.3,0.1,0.2,57.1,0.6,1.5,37.3,0.2,0.8,26.5
Jeremy Sochan,SAS,21,3.8,5.7,66.8,0.1,0.8,17.9,0.1,0.3,41.7,0.1,0.1,40.0,0.4,0.9,39.4,0.2,0.7,26.1
Jericho Sims,MIL,26,0.7,1.1,64.3,0.0,0.1,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jett Howard,ORL,21,0.3,0.5,56.5,0.1,0.3,38.5,0.1,0.1,75.0,0.1,0.3,45.5,0.5,1.2,38.5,0.6,2.0,29.5
Jevon Carter,CHI,29,0.1,0.4,30.0,0.2,0.3,66.7,0.2,0.3,50.0,0.2,0.2,100,0.3,0.9,35.0,0.5,1.5,36.8
Jimmy Butler III,GSW,35,3.8,5.7,65.7,0.7,1.9,34.5,0.7,1.4,48.8,0.1,0.4,33.3,0.4,1.1,36.4,0.1,0.4,25.0
Jock Landale,HOU,29,0.9,1.9,49.0,0.2,0.4,50.0,0.2,0.4,36.4,0.1,0.2,50.0,0.0,0.1,33.3,0.2,0.4,60.0
Joe Ingles,MIN,37,0.0,0.2,0.0,0.2,0.3,66.7,0.1,0.1,100,0.0,0.0,0.0,0.2,0.5,28.6,0.1,0.5,16.7
Joel Embiid,PHI,30,2.9,4.7,63.1,0.8,1.8,42.4,1.2,2.8,43.1,1.3,3.2,42.1,0.1,0.4,12.5,1.2,3.8,31.9
John Collins,UTA,27,3.6,5.5,65.8,1.2,2.5,48.4,0.2,0.6,25.0,0.3,0.6,45.8,1.0,2.1,48.1,0.5,1.4,32.1
John Konchar,MEM,28,0.4,0.7,68.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,37.9,0.1,0.6,25.0
Johnny Davis,WAS,22,0.6,0.9,64.3,0.1,0.4,30.8,0.1,0.2,33.3,0.0,0.0,0.0,0.1,0.5,20.0,0.1,0.5,31.3
Johnny Furphy,IND,20,0.3,0.7,42.9,0.0,0.1,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.7,33.3,0.1,0.4,36.4
Johnny Juzang,UTA,23,0.3,0.6,56.5,0.2,0.5,42.1,0.1,0.3,45.5,0.1,0.3,40.0,0.8,1.9,43.2,0.9,2.4,37.0
Jonas Valančiūnas,SAC,32,2.7,4.0,66.4,0.9,1.8,49.5,0.3,0.9,38.0,0.4,0.9,50.0,0.1,0.2,25.0,0.1,0.4,25.0
Jonathan Isaac,ORL,27,1.3,1.9,67.7,0.0,0.1,50.0,0.1,0.4,15.8,0.1,0.3,25.0,0.5,1.8,29.5,0.2,0.8,20.5
Jonathan Kuminga,GSW,22,3.5,5.3,66.1,0.9,2.5,35.4,0.4,1.4,26.7,0.1,0.4,21.4,0.4,1.4,29.5,0.8,2.2,38.6
Jonathan Mogbo,TOR,23,1.5,2.6,58.0,0.1,0.5,22.7,0.1,0.3,23.1,0.1,0.1,40.0,0.2,0.6,40.0,0.1,0.4,25.0
Jordan Clarkson,UTA,32,1.1,2.2,50.0,1.2,3.0,40.9,0.7,1.6,45.8,0.2,0.5,50.0,0.9,1.9,46.7,1.6,4.5,35.5
Jordan Goodwin,LAL,26,1.0,1.5,66.7,0.3,0.5,50.0,1.3,1.3,100,0.0,0.5,0.0,0.0,0.5,0.0,0.8,1.5,50.0
Jordan Hawkins,NOP,22,0.4,0.9,45.7,0.2,0.8,27.6,0.4,0.9,42.9,0.6,1.4,40.7,0.9,2.3,37.5,1.1,3.4,31.0
Jordan McLaughlin,SAS,28,0.1,0.2,33.3,0.1,0.2,33.3,0.0,0.1,25.0,0.0,0.0,0.0,0.3,0.7,40.0,0.2,0.4,41.7
Jordan Miller,LAC,25,1.2,2.2,54.1,0.4,0.8,47.6,0.1,0.3,42.9,0.0,0.0,0.0,0.1,0.6,17.6,0.2,0.6,26.3
Jordan Poole,WAS,25,2.5,3.9,63.4,0.4,1.5,27.4,0.3,0.9,30.2,0.1,0.6,25.9,0.5,1.3,36.1,2.6,6.9,38.3
